"month","activity_index","momentum","labor_utilization"
2018-05-01,98.2134791884777,69.0653636789293,100.636948285331
2018-06-01,98.4272315605768,75.5189116165101,100.749239294102
2018-07-01,98.5255673255743,68.3128193740472,101.378447736366
2018-08-01,98.5068673951045,66.2532459601731,99.9648136936802
2018-09-01,98.5692667071845,58.799781075135,99.6755068221322
2018-10-01,98.7776048332688,64.2451604592237,99.6250434422456
2018-11-01,98.8189426043197,67.0822552836852,99.0838576583884
2018-12-01,98.5004029132678,47.815990616743,96.8318290410042
2019-01-01,99.5384352521114,83.8261046104411,100.8308660386
2019-02-01,99.4191097615689,78.759307556908,99.8003184672107
2019-03-01,99.5591982626545,90.6376352163915,100.104643792657
2019-04-01,99.732942659741,61.3319970573226,100.203804506283
2019-05-01,99.8045319179558,70.2257975692176,100.445194778555
2019-06-01,99.9516240943118,70.5047767726842,101.02130262532
2019-07-01,100.044107948335,66.8628721834124,100.233598787191
2019-08-01,100.190224731337,70.1729211176185,100.142501749089
2019-09-01,100.337092673066,70.1386860418278,100.114425372743
2019-10-01,100.295106949748,64.0114569602018,98.8608289294924
2019-11-01,100.582690754847,70.3999536893884,99.2848954476155
2019-12-01,100.544934994323,61.9052471345675,98.9576195052441
2020-01-01,100.637263784267,68.1815934577824,98.0921447239672
2020-02-01,100.834464195897,63.9841779142206,98.8046928049432
2020-03-01,100.610876122627,54.808400440943,98.7342688522072
2020-04-01,95.2431974720657,0.00118302649823028,96.7655397202162
2020-05-01,95.8312446874324,0.00282033673897544,98.0415633688374
2020-06-01,96.8926641478766,0.0436298625425198,99.0204276269009
2020-07-01,97.1470593326668,98.4537542208789,98.0939967537457
2020-08-01,97.8040270875327,98.6275702279269,99.5366552892715
2020-09-01,97.9771734471103,91.3806142385633,98.1075839869502
2020-10-01,98.4207544460648,94.0096869211279,99.2334933623079
2020-11-01,98.5816570945346,84.5059750126089,99.9449492720199
2020-12-01,98.9495954470126,89.1032919954612,99.2597062450157
2021-01-01,98.8796073934626,73.4961684849583,100.018185784097
2021-02-01,98.9065775157834,67.6622666251111,99.6764175718377
2021-03-01,99.0687021176787,57.5963122319529,99.2066331888172
2021-04-01,99.2597364428732,70.0860233063284,100.519742147479
2021-05-01,99.5517862037383,80.2665280827776,101.262217256413
2021-06-01,99.5672007778152,74.9527145529633,99.9052262624339
2021-07-01,100.063079054705,84.8850596952299,101.083077636617
2021-08-01,100.057231981393,75.127698283581,101.546519836402
2021-09-01,100.015270764195,72.8410102534534,101.348691085713
2021-10-01,100.398465429838,67.9136061684696,102.282639748063
2021-11-01,100.583508206,75.8233867540297,101.740476274941
2021-12-01,100.906486181943,86.9140576252964,101.840128313184
2022-01-01,100.733535353102,67.8490723099369,101.281300193741
2022-02-01,101.225225473903,79.7950196950132,102.241101430831
2022-03-01,101.454781503339,76.4737726314402,101.504140548021
2022-04-01,101.509086900339,83.8165831242173,100.823356557792
2022-05-01,101.725087364726,74.5885650486272,101.390192944275
2022-06-01,101.895756270691,72.2100939960924,100.925348249881
2022-07-01,102.294194704325,83.9147419983731,101.437690702671
2022-08-01,102.422340640576,81.3219111164264,101.0084103515
2022-09-01,102.567714942665,80.4972519468306,101.026140245531
2022-10-01,102.64849966478,68.4142176356285,101.35370412461
2022-11-01,102.687336947442,64.3835018714786,100.39489245819
2022-12-01,102.941491921272,69.2135676947004,100.967396230425
2023-01-01,103.299146897282,79.6575585138893,103.034708881762
2023-02-01,103.321810920531,79.1194152245505,101.266740701764
2023-03-01,103.364649827787,71.2241844555554,100.942220994468
2023-04-01,103.357025405725,54.3184728053979,100.815842896714
2023-05-01,103.481776396252,59.325343656662,100.429978129494
2023-06-01,103.529072444944,59.5369930595771,99.5296778674795
2023-07-01,103.769005332167,70.6945793034743,100.49665902454
2023-08-01,103.974834814009,73.9055642649288,99.669035056034
2023-09-01,104.024717299941,73.996061612381,99.8367802548
2023-10-01,104.140708139694,68.9396695733448,99.485071803194
2023-11-01,104.161727670747,60.5619352822261,98.6217366557249
2023-12-01,104.49477488004,72.9164919506616,99.2167393731876
2024-01-01,104.624487782768,73.4290393594217,98.9879257291674
2024-02-01,104.808856122137,79.2348250768868,99.1626737897058
2024-03-01,105.184349715546,80.511975602132,101.241546824836
2024-04-01,105.233371431054,77.8729708345976,100.247186109874
2024-05-01,105.412795703235,77.6687345188052,100.778076425409
2024-06-01,105.561936509241,68.9738426393142,101.455752224467
2024-07-01,105.394935186698,59.2608220174022,99.7006224635362
2024-08-01,105.507603872667,56.0527797532972,99.0163142286155
2024-09-01,105.68529219686,57.4187522566176,100.01846976307
2024-10-01,105.62562207406,62.4751208692052,98.7353284933792
2024-11-01,105.783197804461,64.5007511277349,98.367227451176
2024-12-01,105.827313284337,58.302012136491,98.4318774382362
2025-01-01,105.630827987201,51.6852451906925,96.2172440635199
2025-02-01,105.873864596661,55.8371926495163,97.6101710790034
2025-03-01,105.961412339676,57.9162755317324,97.8346143824353
2025-04-01,106.155314421621,74.6944519524536,96.8902446123358
2025-05-01,106.262126863024,69.314623067383,96.5935388638299
2025-06-01,106.364812943971,69.9244884548602,97.1332676577534
2025-07-01,106.545689424953,69.3592534026899,97.2901663047397
2025-08-01,106.735099177138,72.64007117461,98.187338837488
2025-09-01,106.804382011032,71.316997371707,98.1545504840679
2025-10-01,106.9269177057,68.9222308966251,98.0116669027069
2025-11-01,107.177857580206,71.382491564954,99.7211838494408
2025-12-01,107.1868814268,68.936519765406,98.2478562889877
2026-01-01,107.307142035462,68.8243149306295,97.9155727697201
2026-02-01,107.357867669654,59.9784575411466,98.2034732351437
2026-03-01,107.471279652762,64.6953302811314,97.9606971992934
2026-04-01,107.874609279992,75.9307917215079,98.5427472368444
2026-05-01,108.073825526914,80.7360369864238,98.3312223541265
